D;G;C;SC;P;CCIF;GLOSA
08;3;1;01;02;08.3.1.01.02;SERVICIO DE TELEFONÍA FIJA VIVIENDA SECUNDARIA
08;3;1;01;03;08.3.1.01.03;SERVICIO DE TELEFONÍA MÓVIL
08;3;1;01;04;08.3.1.01.04;SERVICIO DE CONEXIÓN A INTERNET  VIVIENDA PRINCIPAL
08;3;1;01;05;08.3.1.01.05;SERVICIO DE CONEXIÓN A INTERNET VIVIENDA SECUNDARIA
08;3;1;01;06;08.3.1.01.06;SERVICIO DE PACK DE TELECOMUNICACIONES VIVIENDA PRINCIPAL
08;3;1;01;07;08.3.1.01.07;SERVICIO DE PACK DE TELECOMUNICACIONES VIVIENDA SECUNDARIA
08;3;1;01;08;08.3.1.01.08;SERVICIO DE BANDA ANCHA MÓVIL
08;3;1;02;00;08.3.1.02.00;OTROS SERVICIOS DE COMUNICACIONES
08;3;1;02;01;08.3.1.02.01;TELÉFONO PÚBLICO
08;3;1;02;02;08.3.1.02.02;SERVICIO PÚBLICO DE INTERNET
08;3;1;02;03;08.3.1.02.03;OTROS SERVICIOS DE TELECOMUNICACIONES PÚBLICAS N.C.P.
08;4;0;00;00;08.4.0.00.00;GASTOS NO DESGLOSADOS EN COMUNICACIONES
08;4;1;00;00;08.4.1.00.00;GASTOS NO DESGLOSADOS EN COMUNICACIONES
08;4;1;01;00;08.4.1.01.00;GASTOS NO DESGLOSADOS EN COMUNICACIONES
08;4;1;01;01;08.4.1.01.01;GASTOS NO DESGLOSADOS EN COMUNICACIONES
09;0;0;00;00;09.0.0.00.00;RECREACIÓN Y CULTURA
09;1;0;00;00;09.1.0.00.00;EQUIPO AUDIOVISUAL, FOTOGRÁFICO Y DE PROCESAMIENTO DE INFORMACIÓN
09;1;1;00;00;09.1.1.00.00;EQUIPO PARA LA RECEPCIÓN, GRABACIÓN Y REPRODUCCIÓN DE SONIDO E IMÁGENES
09;1;1;01;00;09.1.1.01.00;APARATOS DE TELEVISIÓN PARA LA RECEPCIÓN, GRABACIÓN Y REPRODUCCIÓN DE IMAGEN
09;1;1;01;01;09.1.1.01.01;TELEVISORES
09;1;1;01;02;09.1.1.01.02;REPRODUCTOR Y GRABADOR DE DVD
09;1;1;01;03;09.1.1.01.03;REPRODUCTOR Y GRABADOR DE BLU-RAY
09;1;1;01;04;09.1.1.01.04;ACCESORIOS PARA EQUIPOS Y APARATOS DE TELEVISIÓN, REPRODUCTORES Y GRABADORES DE DVD Y BLU-RAY
09;1;1;02;00;09.1.1.02.00;EQUIPOS PARA LA RECEPCIÓN, GRABACIÓN Y REPRODUCCIÓN DE SONIDO
09;1;1;02;01;09.1.1.02.01;EQUIPOS PARA LA REPRODUCCIÓN, GRABACIÓN Y RECEPCIÓN DE AUDIO
09;1;1;02;02;09.1.1.02.02;REPRODUCTORES DE AUDIO O MULTIMEDIA PORTÁTILES Y PERSONALES
09;1;1;02;03;09.1.1.02.03;GRABADORAS PORTÁTILES DE AUDIO
09;1;1;02;04;09.1.1.02.04;MICRÓFONOS
09;1;1;02;05;09.1.1.02.05;AUDÍFONOS
09;1;1;02;06;09.1.1.02.06;EQUIPOS PARA RADIOAFICIONADOS Y DE RADIO CONTROL
09;1;1;02;07;09.1.1.02.07;ACCESORIOS DE EQUIPOS PARA LA GRABACIÓN Y REPRODUCCIÓN DE SONIDO
09;1;2;00;00;09.1.2.00.00;EQUIPO FOTOGRÁFICO Y CINEMATOGRÁFICO E INSTRUMENTOS ÓPTICOS
09;1;2;01;00;09.1.2.01.00;ARTEFACTOS E INSTRUMENTOS FOTOGRÁFICOS, CINEMATOGRÁFICOS Y ÓPTICOS
09;1;2;01;01;09.1.2.01.01;CÁMARAS FOTOGRÁFICAS DIGITALES Y ANALÓGICAS
09;1;2;01;02;09.1.2.01.02;CÁMARAS DE VIDEO
09;1;2;01;03;09.1.2.01.03;PROYECTORES DE PELÍCULAS Y DIAPOSITIVAS, AMPLIADORAS Y EQUIPO DE PROCESAMIENTO FOTOGRÁFICO
09;1;2;01;04;09.1.2.01.04;INSTRUMENTOS ÓPTICOS COMO BINOCULARES, MICROSCOPIOS Y SIMILARES
09;1;2;01;05;09.1.2.01.05;ACCESORIOS PARA ARTEFACTOS E INSTRUMENTOS FOTOGRÁFICOS, CINEMATOGRÁFICOS Y OTROS
09;1;3;00;00;09.1.3.00.00;EQUIPO DE PROCESAMIENTO E INFORMACIÓN
09;1;3;01;00;09.1.3.01.00;EQUIPO PARA EL PROCESAMIENTO INFORMÁTICO
09;1;3;01;01;09.1.3.01.01;COMPUTADOR DE ESCRITORIO
09;1;3;01;02;09.1.3.01.02;COMPUTADOR PORTÁTIL
09;1;3;01;03;09.1.3.01.03;COMPUTADOR TABLET PC
09;1;3;01;04;09.1.3.01.04;IMPRESORAS Y MULTIFUNCIONALES
09;1;3;01;05;09.1.3.01.05;PARTES Y PIEZAS DE COMPUTADOR
09;1;3;01;06;09.1.3.01.06;DISPOSITIVOS ÓPTICOS COMO GRABADOR DE CD/DVD Y SIMILARES
09;1;3;01;07;09.1.3.01.07;DISPOSITIVOS PARA LIBRO ELECTRÓNICO
09;1;3;01;08;09.1.3.01.08;MONITORES PARA COMPUTADORES
09;1;3;01;09;09.1.3.01.09;DISPOSITIVOS DE ALMACENAMIENTO PORTÁTILES
09;1;3;01;10;09.1.3.01.10;SOFTWARE COMPUTACIONALES
09;1;3;01;11;09.1.3.01.11;ACCESORIOS PARA EQUIPO DE PROCESAMIENTO INFORMÁTICO
09;1;3;01;12;09.1.3.01.12;CALCULADORA
09;1;3;01;13;09.1.3.01.13;MÁQUINA DE ESCRIBIR
09;1;4;00;00;09.1.4.00.00;MEDIOS PARA GRABACIÓN
09;1;4;01;00;09.1.4.01.00;MEDIOS PARA GRABACIÓN DE INFORMACIÓN (CD, CINTAS MAGNÉTICAS, DIGITAL, ETC.)
09;1;4;01;01;09.1.4.01.01;DISCO DVD, CD Y BLU-RAY VIRGEN PARA GRABACIÓN Y SIMILARES
09;1;4;01;02;09.1.4.01.02;PELÍCULAS Y DISCOS MUSICALES
09;1;4;01;03;09.1.4.01.03;ARTÍCULOS DE FOTOGRAFÍA
09;1;5;00;00;09.1.5.00.00;REPARACIÓN DE EQUIPO AUDIOVISUAL, FOTOGRÁFICO Y DE PROCESAMIENTO DE INFORMACIÓN
09;1;5;01;00;09.1.5.01.00;REPARACIÓN DE EQUIPO AUDIOVISUAL, FOTOGRÁFICO Y DE PROCESAMIENTO DE INFORMACIÓN
09;1;5;01;01;09.1.5.01.01;SERVICIO DE REPARACIÓN  MÁQUINA DE ESCRIBIR
